Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
8,128,128,0.3,1e-05,7209,0.11845684051513672,9.998362623062432e-06,1.5742856080781205,0.0014898528597848681
9,128,128,0.3,1e-05,5540,0.0929405689239502,9.989209875948396e-06,4.383982991751167,0.013104995707025502
0,128,128,0.2,1e-05,5512,0.10071468353271484,9.995373851805905e-06,2.2475201844465826,0.0023885941706969227
1,128,128,0.2,1e-05,10239,0.17641282081604004,9.99558492720612e-06,1.8773458096027587,0.007672548791692879
2,128,128,0.2,1e-05,11350,0.19247198104858398,9.994679120241962e-06,2.0044610580325255,0.009312191480329801
3,128,128,0.2,1e-05,4197,0.07230567932128906,9.977716728981276e-06,4.39131634549439,0.003348116809858581
4,128,128,0.2,1e-05,8224,0.1378488540649414,9.995686436047382e-06,2.580783581665508,0.006377131179220896
5,128,128,0.2,1e-05,9113,0.15904474258422852,9.996706604701797e-06,2.61683463347723,0.011765500285161323
6,128,128,0.2,1e-05,1939,0.04085850715637207,9.994648789755575e-06,6.338696829770333,0.009920090451437602
7,128,128,0.2,1e-05,11101,0.17761635780334473,9.996219575812357e-06,2.1745021460634986,0.007298010354177986
8,128,128,0.2,1e-05,10797,0.19673562049865723,9.999567221493852e-06,1.5703651382819617,0.005410322655943656
9,128,128,0.2,1e-05,7915,0.12401008605957031,9.998245424129582e-06,4.382659242219749,0.014428745238443952
0,128,128,0.1,1e-05,9420,0.18263959884643555,9.997599100914148e-06,2.247389211926865,0.002519566690414532
1,128,128,0.1,1e-05,23645,0.42781758308410645,9.997535487565185e-06,1.8774029253351072,0.007615433059344312
2,128,128,0.1,1e-05,28297,0.5327963829040527,9.999125148331053e-06,2.008118647948115,0.0056546015647405135
3,128,128,0.1,1e-05,7714,0.14289569854736328,9.983481991418866e-06,4.391197557215191,0.003466905089057448
4,128,128,0.1,1e-05,15904,0.29044556617736816,9.99586995313953e-06,2.5807046076830424,0.006456105161686487
5,128,128,0.1,1e-05,20660,0.4654691219329834,9.999057815701998e-06,2.616878577237947,0.011721556524444399
6,128,128,0.1,1e-05,3764,0.09539937973022461,9.787428878573964e-06,6.33886651601222,0.009750404209550645
7,128,128,0.1,1e-05,22920,0.3892862796783447,9.998483572198555e-06,2.176539751535683,0.00526040488199353
8,128,128,0.1,1e-05,28066,0.49831175804138184,9.998719447786714e-06,1.572817439124789,0.0029580218131162184
9,128,128,0.1,1e-05,15008,0.2700386047363281,9.994610659556924e-06,4.382615553337063,0.014472434121129751
0,128,128,0.09,1e-05,10282,0.18047356605529785,9.997640050236206e-06,2.2473892019793116,0.0025195766379679796
1,128,128,0.09,1e-05,26681,0.4807772636413574,9.998730485617086e-06,1.8773963059056307,0.007622052488820863
2,128,128,0.09,1e-05,32581,0.6468663215637207,9.999170236807409e-06,2.0086086088957593,0.0051646406170959835
3,128,128,0.09,1e-05,8503,0.15538954734802246,9.995508711280188e-06,4.391157470414634,0.0035069918896146746
4,128,128,0.09,1e-05,17618,0.3359251022338867,9.989840717764681e-06,2.580708578814815,0.006452134029913736
5,128,128,0.09,1e-05,23247,0.4078187942504883,9.998778848689313e-06,2.6168787700458456,0.011721363716545863
6,128,128,0.09,1e-05,4170,0.08140873908996582,9.968867881951157e-06,6.338663799468001,0.009953120753769973
7,128,128,0.09,1e-05,25442,0.5043110847473145,9.998452207379827e-06,2.176540053107613,0.005260103310063435
8,128,128,0.09,1e-05,32179,0.5455071926116943,9.998573761851176e-06,1.572828050834726,0.0029474101031792266
9,128,128,0.09,1e-05,16589,0.2948462963104248,9.990964155600496e-06,4.382620771718517,0.014467215739675687
0,128,128,0.08,1e-05,11358,0.19671940803527832,9.998421823441406e-06,2.2473890531342873,0.0025197254829922855
1,128,128,0.08,1e-05,30490,0.586705207824707,9.99990628647654e-06,1.877392359068931,0.007625999325520549
2,128,128,0.08,1e-05,37944,0.7039406299591064,9.99770115350622e-06,2.008844288704142,0.004928960808713523
3,128,128,0.08,1e-05,9494,0.18983745574951172,9.997938385356703e-06,4.391094065614482,0.003570396689767108
4,128,128,0.08,1e-05,19761,0.39745092391967773,9.993890826950208e-06,2.5807059084804296,0.006454804364299349
5,128,128,0.08,1e-05,26483,0.5021758079528809,9.99840210966739e-06,2.6168791582115523,0.011720975550839174
6,128,128,0.08,1e-05,100000,1.9637351036071777,nan,nan,nan
7,128,128,0.08,1e-05,28601,0.5891544818878174,9.999462098925216e-06,2.1765392611021213,0.005260895315555292
8,128,128,0.08,1e-05,37332,0.6235387325286865,9.998576201071877e-06,1.572831114846221,0.002944346091684258
9,128,128,0.08,1e-05,100000,1.744600772857666,nan,nan,nan
0,128,128,1.0,1e-06,2215,0.04689955711364746,9.982391597860435e-07,2.4937824564258664,0.24387367780858682
1,128,128,1.0,1e-06,2183,0.0338292121887207,9.977540738649593e-07,2.161886842326914,0.27686848393246244
2,128,128,1.0,1e-06,2135,0.041307926177978516,9.99309176966806e-07,2.275120716015607,0.26134746650275176
3,128,128,1.0,1e-06,1043,0.018877029418945312,9.934308377694545e-07,4.559582071476341,0.1649176091720923
4,128,128,1.0,1e-06,2095,0.03429722785949707,9.990459104991523e-07,2.79127938276913,0.20411866992440109
5,128,128,1.0,1e-06,1845,0.02882218360900879,9.981283394366186e-07,2.8396917773730816,0.21109164361069022
6,128,128,1.0,1e-06,546,0.008996009826660156,9.794461643692493e-07,6.427428215538023,0.0788112953162523
7,128,128,1.0,1e-06,2073,0.034948110580444336,9.993502670460619e-07,2.4330026464230037,0.25120249000532713
8,128,128,1.0,1e-06,2439,0.03869295120239258,9.98028443976659e-07,1.8824916707184012,0.30671620978049585
9,128,128,1.0,1e-06,2042,0.03325533866882324,9.964135074640168e-07,4.534642058983181,0.13755407152498833
0,128,128,0.9,1e-06,2508,0.04154205322265625,9.990591707705054e-07,2.4443436094933864,0.1944348308761068
1,128,128,0.9,1e-06,2486,0.039786338806152344,9.993960956404535e-07,2.10887497946115,0.22385662106669857
2,128,128,0.9,1e-06,2461,0.038407325744628906,9.969870501148892e-07,2.2224529515762983,0.208679702063443
3,128,128,0.9,1e-06,1160,0.020558595657348633,9.911897744865894e-07,4.525051566154593,0.13038710385034413
4,128,128,0.9,1e-06,2368,0.03977227210998535,9.971649247049463e-07,2.748203033388549,0.16104232054382006
5,128,128,0.9,1e-06,2096,0.03346896171569824,9.99421219177385e-07,2.7967550988722256,0.1681549651098342
6,128,128,0.9,1e-06,594,0.009455204010009766,9.956059120151683e-07,6.408982591087675,0.060365670865904164
7,128,128,0.9,1e-06,2374,0.04923725128173828,9.985890260192504e-07,2.3842618702405,0.20246171382282352
8,128,128,0.9,1e-06,2828,0.04632425308227539,9.984382546273513e-07,1.8225818525352446,0.2468063915973393
9,128,128,0.9,1e-06,2363,0.041706085205078125,9.99740602310173e-07,4.504534274414905,0.1074462869567121
0,128,128,0.8,1e-06,2874,0.04748392105102539,9.98381273424609e-07,2.3981752938960144,0.1482665152787348
1,128,128,0.8,1e-06,2867,0.044701576232910156,9.999364548873846e-07,2.058799788587482,0.1737814301930305
2,128,128,0.8,1e-06,2875,0.04705500602722168,9.985181383849462e-07,2.1732708852640874,0.1594976357512321
3,128,128,0.8,1e-06,1307,0.021146774291992188,9.965130830826008e-07,4.493133212821796,0.09846875051754722
4,128,128,0.8,1e-06,2704,0.04359030723571777,9.979055665930436e-07,2.7084452632238287,0.1212845503790998
5,128,128,0.8,1e-06,2415,0.03802776336669922,9.984092031924824e-07,2.7568464351719273,0.12824630140953586
6,128,128,0.8,1e-06,654,0.010676860809326172,9.75794902520824e-07,6.392528398418197,0.043911478196426046
7,128,128,0.8,1e-06,2760,0.0452122688293457,9.981282483983306e-07,2.338318203040627,0.15651804662295055
8,128,128,0.8,1e-06,3331,0.05725693702697754,9.988130426612923e-07,1.7660445971546184,0.19026913621671304
9,128,128,0.8,1e-06,2777,0.05343508720397949,9.976842312263423e-07,4.476935819540522,0.07984783208232926
0,128,128,0.7,1e-06,3343,0.05540966987609863,9.991212377193082e-07,2.355969642413818,0.10606086379653856
1,128,128,0.7,1e-06,3361,0.05563831329345703,9.986527542832357e-07,2.0122753006421794,0.12725694224772788
2,128,128,0.7,1e-06,3418,0.05237269401550293,9.983398687289646e-07,2.1282914030927986,0.11451815357994333
3,128,128,0.7,1e-06,1506,0.026433944702148438,9.968206892783243e-07,4.464373571707381,0.06970910940313235
4,128,128,0.7,1e-06,3129,0.054511308670043945,9.979251624978036e-07,2.672582135466814,0.08542142262208507
5,128,128,0.7,1e-06,2830,0.04875659942626953,9.9962342027006e-07,2.7205234995420393,0.09192336577964788
6,128,128,0.7,1e-06,728,0.016347885131835938,9.775997946073062e-07,6.378201514123033,0.029584593901262224
7,128,128,0.7,1e-06,3272,0.054497718811035156,9.99663275488144e-07,2.29568598495525,0.11388582853757345
8,128,128,0.7,1e-06,4001,0.07251930236816406,9.986016466564246e-07,1.713710766580475,0.13793530564256962
9,128,128,0.7,1e-06,3316,0.05365920066833496,9.998955003177878e-07,4.452249160497104,0.055161173038911215
